Rank,Player (Bye),POS,Yahoo,Sleeper,RTSports,AVG,Real-Time
272,Carson Beck   ARI (14),QB37,,,231,231.0,
273,Dontayvion Wicks   PHI (10),WR86,,,232,232.0,199  +74
274,Ted Hurst III   TB (10),WR87,,248,285,266.5,263  +11
275,Tory Horton   SEA (11),WR88,,255,278,266.5,268  +7
276,Jaylin Noel   HOU (8),WR89,,237,,237.0,232  +44
277,Pat Bryant   DEN (10),WR90,,238,306,272.0,262  +15
278,Austin Ekeler,RB76,,,239,239.0,
279,Christian Kirk   SF (8),WR91,,273,264,268.5,
280,Kendre Miller   NO (8),RB77,,240,,240.0,
281,Devin Singletary   NYG (8),RB78,,,241,241.0,
282,Marvin Mims Jr.   DEN (10),WR92,,242,,242.0,
283,Brashard Smith   KC (5),RB79,,243,,243.0,
284,Keenan Allen   LAC (7),WR93,,264,279,271.5,
285,Kyle Williams   NE (11),WR94,,246,,246.0,
286,Evan Engram   DEN (10),TE35,,,249,249.0,277  +9
287,Chimere Dike   TEN (9),WR95,,251,296,273.5,
288,LeQuint Allen Jr.   JAC (7),RB80,,,250,250.0,
289,Hollywood Brown   PHI (10),WR96,,,251,251.0,
290,Indianapolis Colts DST   (13),DST22,,252,,252.0,
291,Mason Taylor   NYJ (13),TE36,,256,302,279.0,
292,Audric Estime   NO (8),RB81,,257,,257.0,
293,Cyrus Allen   KC (5),WR97,,,257,257.0,267  +26
294,Elijah Sarratt   BAL (13),WR98,,258,,258.0,251  +43
295,Chris Bell   MIA (6),WR99,,260,308,284.0,272  +23
296,Xavier Legette   CAR (5),WR100,,,261,261.0,
297,Kareem Hunt,RB82,,,262,262.0,
298,Rashod Bateman   BAL (13),WR101,,262,301,281.5,253  +45
299,Jarquez Hunter   LAR (11),RB83,,263,,263.0,
300,Devaughn Vele   NO (8),WR102,,271,290,280.5,
301,Keon Coleman   BUF (7),WR103,,265,300,282.5,225  +76
302,Samaje Perine   CIN (6),RB84,,,268,268.0,255  +47
303,Mike Gesicki   CIN (6),TE37,,,269,269.0,
304,Jack Bech   LV (13),WR104,,269,305,287.0,
305,Andrei Iosivas   CIN (6),WR105,,,270,270.0,
306,Tampa Bay Buccaneers DST   (10),DST23,,272,,272.0,
307,Darnell Washington   PIT (9),TE38,,,275,275.0,
308,Carolina Panthers DST   (5),DST24,,276,,276.0,
309,Max Klare   LAR (11),TE39,,277,,277.0,
310,Michael Trigg   DAL (14),TE40,,278,,278.0,
311,Cincinnati Bengals DST   (6),DST25,,279,,279.0,
312,New Orleans Saints DST   (8),DST26,,281,,281.0,
313,Caleb Douglas   MIA (6),WR106,,,281,281.0,
314,Joe Mixon,RB85,,282,,282.0,
315,Tutu Atwell   MIA (6),WR107,,,282,282.0,
316,Ty Simpson   LAR (11),QB38,,283,,283.0,
317,Michael Mayer   LV (13),TE41,,,284,284.0,
318,Elic Ayomanor   TEN (9),WR108,,284,,284.0,
